                         nodeIDs,nodeType,nodeDepths,       mean,         sd,    median,        mad,count1000,countALL,    LB,    UB,                  Project,                     Location,DepthCat,Clone1Hits,Clone2Hits,OtherHits,Clone1ID,Clone2ID,        Accession,  SecAccession,  Domain,        Phylum,                Class,               Order,              Family,                  Genus,                       Species,           SilvaTag,                     RDP_Clade,    Ecotype,SecDomain,      SecPhylum,             SecClass,         SecOrder,        SecFamily,               SecGenus,                    SecSpecies,        SecSilvaTag,                SecRDP_Clade, SecEcotype,                    Letter6,      amean,        asd,    amedian,       amad,acount1000,acountall
                   5_ARISA_407.7,   ARISA,         5,   0.000278,   0.000789,         0,          0,        7,      30, 406.7, 407.7,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_407.7,0.000277975, 0.00078853,          0,          0,         7,       30
                   5_ARISA_408.8,   ARISA,         5,   0.000268,    0.00111,         0,          0,        6,      25, 407.8, 408.8,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_408.8,0.000268453,0.001113924,          0,          0,         6,       25
                   5_ARISA_409.4,   ARISA,         5,   0.000031,   0.000167,         0,          0,        2,       5, 408.8, 409.4,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_409.4,   3.10E-05,0.000166551,          0,          0,         2,        5
                   5_ARISA_411.1,   ARISA,         5,  0.0000175,  0.0000873,         0,          0,        0,       5, 410.1, 411.1,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_411.1,   1.75E-05,   8.73E-05,          0,          0,         0,        5
                   5_ARISA_412.7,   ARISA,         5,  0.0000271,   0.000152,         0,          0,        1,       6, 411.7, 412.7,            Biocomplexity,Atlantic_(Amazon_River_Plume),    surf,         1,        nd,       nd,  204272,      nd,       EF471463.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_412.7,   2.71E-05,0.000151655,          0,          0,         1,        6
                   5_ARISA_413.3,   ARISA,         5,  0.0000295,   0.000157,         0,          0,        1,       6, 412.7, 413.3,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_413.3,   2.95E-05,0.000156801,          0,          0,         1,        6
                   5_ARISA_414.2,   ARISA,         5,   0.000159,   0.000584,         0,          0,        7,      14, 413.3, 414.2,            Biocomplexity,Atlantic_(Amazon_River_Plume),    surf,         1,        nd,       nd,  204273,      nd,       EU804871.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_414.2,0.000158644,0.000584032,          0,          0,         7,       14
                   5_ARISA_415.1,   ARISA,         5,  0.0000907,   0.000263,         0,          0,        2,      17, 414.2, 415.1,            Biocomplexity,Atlantic_(Amazon_River_Plume),    surf,         1,        nd,       nd,  204274,      nd,   AACY01084409.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_415.1,   9.07E-05,0.000262821,          0,          0,         2,       17
                   5_ARISA_416.4,   ARISA,         5,   0.000421,   0.000883,         0,          0,       11,      41, 415.4, 416.4,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_416.4, 0.00042067,0.000883104,          0,          0,        11,       41
                     5_ARISA_417,   ARISA,         5,   0.000171,   0.000677,         0,          0,        3,      19, 416.4,   417,            Biocomplexity,Atlantic_(Amazon_River_Plume),    surf,         1,        nd,       nd,  204276,      nd,       EU805128.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                 OCS155_417,0.000171029, 0.00067714,          0,          0,         3,       19
                   5_ARISA_417.6,   ARISA,         5,   0.000539,    0.00448,         0,          0,        3,       7,   417, 417.6,Global_Ocean_Survey_(GOS),                          xxx,    surf,         1,        nd,       nd,  204275,      nd,       EF471463.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_417.6,0.000539226,0.004480984,          0,          0,         3,        7
                   5_ARISA_418.5,   ARISA,         5,    0.00423,    0.00924,         0,          0,       36,      42, 417.6, 418.5,USC_Microbial_Observatory,                         SPOT,    surf,         1,        nd,       nd,  204305,      nd,       DQ157868.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_418.5,  0.0042251,0.009243977,          0,          0,        36,       42
                   5_ARISA_419.5,   ARISA,         5,       0.03,       0.05,      0.01,       0.01,       85,      88, 418.5, 419.5,USC_Microbial_Observatory,                         SPOT,    surf,         1,        nd,       nd,  204292,      nd,       DQ009123.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_419.5,       0.03,       0.05,       0.01,       0.01,        85,       88
                   5_ARISA_420.5,   ARISA,         5,    0.00574,       0.01,         0,          0,       40,      43, 419.5, 420.5,USC_Microbial_Observatory,                         SPOT,    surf,         1,        nd,       nd,  204331,      nd,       DQ009121.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_420.5,0.005739684,       0.01,          0,          0,        40,       43
                   5_ARISA_421.5,   ARISA,         5,       0.02,       0.02,      0.01,       0.01,       89,      91, 420.5, 421.5,USC_Microbial_Observatory,                         SPOT,    surf,         3,        nd,       nd,  204333,      nd,       GU061505.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_421.5,       0.02,       0.02,       0.01,       0.01,        89,       91
                   5_ARISA_422.3,   ARISA,         5,   0.000103,   0.000531,         0,          0,        4,       5, 421.5, 422.3,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_422.3,0.000102895, 0.00053112,          0,          0,         4,        5
                   5_ARISA_423.3,   ARISA,         5,    0.00105,    0.00183,         0,          0,       36,      45, 422.3, 423.3,Global_Ocean_Survey_(GOS),                          xxx,    surf,         1,        nd,       nd,  204337,      nd,   AACY01090423.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_423.3,0.001047398,0.001827267,          0,          0,        36,       45
                   5_ARISA_424.4,   ARISA,         5,    0.00591,    0.00663,   0.00453,    0.00454,       91,      96, 423.4, 424.4,USC_Microbial_Observatory,                         SPOT,    surf,         1,        nd,       nd,  204344,      nd,       DQ009118.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_424.4,0.005908898, 0.00662997,0.004529645,0.004539811,        91,       96
                   5_ARISA_425.6,   ARISA,         5,   0.000478,    0.00109,         0,          0,       16,      29, 424.6, 425.6,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_425.6,0.000477965,0.001094715,          0,          0,        16,       29
                   5_ARISA_427.4,   ARISA,         5,  0.0000319,   0.000154,         0,          0,        1,       5, 426.5, 427.4,            Biocomplexity,             Pacific_(Hawaii),    surf,         1,        nd,       nd,  204345,      nd,       DQ009357.1,            nd,Bacteria, Cyanobacteria,Synechococcophycideae,     Synechococcales,    Synechococcaceae,        Prochlorococcus,                            nd,    Prochlorococcus,                   Sar86_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               Prochl_427.4,   3.19E-05,0.000153947,          0,          0,         1,        5
                   5_ARISA_429.3,   ARISA,         5,   0.000162,    0.00115,         0,          0,        4,       8, 428.4, 429.3,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_429.3,0.000162353,0.001147707,          0,          0,         4,        8
                   5_ARISA_430.1,   ARISA,         5,   0.000122,   0.000815,         0,          0,        3,       9, 429.3, 430.1,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_430.1,0.000122361,0.000814724,          0,          0,         3,        9
                   5_ARISA_431.4,   ARISA,         5,   0.000206,   0.000455,         0,          0,        7,      29, 430.4, 431.4,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_431.4,0.000206316, 0.00045486,          0,          0,         7,       29
                     5_ARISA_432,   ARISA,         5,  0.0000816,   0.000291,         0,          0,        1,      16, 431.4,   432,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                    OTU_432,   8.16E-05,0.000291146,          0,          0,         1,       16
                   5_ARISA_432.8,   ARISA,         5,   0.000371,    0.00176,         0,          0,        5,      13,   432, 432.8,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_432.8,0.000370556,0.001761647,          0,          0,         5,       13
                   5_ARISA_433.6,   ARISA,         5,   0.000354,    0.00338,         0,          0,        2,       5, 432.8, 433.6,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_433.6,0.000353711,0.003377726,          0,          0,         2,        5
                   5_ARISA_434.5,   ARISA,         5,    0.00622,       0.02,         0,          0,        6,       7, 433.6, 434.5,Global_Ocean_Survey_(GOS),                          xxx,    surf,         1,        nd,       nd,  204346,      nd,   AACY01084409.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_434.5,0.006222584,       0.02,          0,          0,         6,        7
                   5_ARISA_435.5,   ARISA,         5,        0.1,       0.08,      0.07,       0.08,       97,      98, 434.5, 435.5,USC_Microbial_Observatory,                         SPOT,    surf,         1,        nd,       nd,  204347,      nd,       DQ009124.1,            nd,Bacteria,Actinobacteria,       Actinobacteria,              koll13,                  nd,                     nd,                            nd,             OCS155,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               OCS155_435.5,        0.1,       0.08,       0.07,       0.08,        97,       98
                   5_ARISA_436.3,   ARISA,         5,    0.00319,       0.01,         0,          0,        9,      11, 435.5, 436.3,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_436.3,0.003187457,       0.01,          0,          0,         9,       11
                   5_ARISA_438.2,   ARISA,         5,  0.0000912,   0.000253,         0,          0,        2,      16, 437.5, 438.2,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_438.2,   9.12E-05,0.000252958,          0,          0,         2,       16
                   5_ARISA_439.2,   ARISA,         5,    0.00024,   0.000996,         0,          0,        5,      24, 438.2, 439.2,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_439.2,0.000240452,0.000996274,          0,          0,         5,       24
                     5_ARISA_442,   ARISA,         5,  0.0000662,   0.000377,         0,          0,        2,       8,   441,   442,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                    OTU_442,   6.62E-05,0.000376914,          0,          0,         2,        8
                     5_ARISA_444,   ARISA,         5,  0.0000235,    0.00015,         0,          0,        1,       5,   443,   444,Global_Ocean_Survey_(GOS),                          xxx,    surf,         1,        nd,       nd,  204352,      nd,       EF574903.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                   Sar86_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  SAR86_444,   2.35E-05,0.000149902,          0,          0,         1,        5
                   5_ARISA_445.8,   ARISA,         5,  0.0000457,   0.000143,         0,          0,        0,      12, 444.8, 445.8,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_445.8,   4.57E-05,0.000143362,          0,          0,         0,       12
                   5_ARISA_446.5,   ARISA,         5,   0.000017,   0.000081,         0,          0,        0,       5, 445.8, 446.5,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_446.5,   1.70E-05,   8.10E-05,          0,          0,         0,        5
                   5_ARISA_448.7,   ARISA,         5,  0.0000142,  0.0000606,         0,          0,        0,       6, 447.7, 448.7,     Indian_Ocean-RS/JCVI,                 Indian_Ocean,    surf,         1,        nd,       nd,  204353,      nd,       GU061990.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,         Vibrionales,        Vibrionaceae,                     nd,                            nd,       Vibrionaceae,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               Vibrio_448.7,   1.42E-05,   6.06E-05,          0,          0,         0,        6
                   5_ARISA_450.2,   ARISA,         5,  0.0000208,    0.00009,         0,          0,        0,       7, 448.7, 450.2,     Indian_Ocean-RS/JCVI,                 Indian_Ocean,    surf,         1,        nd,       nd,  204354,      nd,       EF572512.1,            nd,Bacteria, Bacteroidetes,        Flavobacteria,    Flavobacteriales,   Flavobacteriaceae,                     nd,                            nd,               NS2b,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                 NS2b_450.2,   2.08E-05,   9.00E-05,          0,          0,         0,        7
                   5_ARISA_452.1,   ARISA,         5,  0.0000521,   0.000134,         0,          0,        0,      17, 450.2, 452.1,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_452.1,   5.21E-05,0.000133797,          0,          0,         0,       17
                     5_ARISA_454,   ARISA,         5,    0.00021,    0.00106,         0,          0,        2,      26, 452.1,   454,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                    OTU_454,0.000209902,0.001057057,          0,          0,         2,       26
                   5_ARISA_460.7,   ARISA,         5,  0.0000385,   0.000143,         0,          0,        0,      10, 459.5, 460.7,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_460.7,   3.85E-05,0.000142545,          0,          0,         0,       10
                   5_ARISA_469.4,   ARISA,         5,    0.00144,    0.00792,         0,          0,       10,      13, 467.4, 469.4,Global_Ocean_Survey_(GOS),                          xxx,    surf,         7,        nd,       nd,  204357,      nd,       EF575312.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                   Sar86_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                SAR86_469.4,0.001439859,0.007919224,          0,          0,        10,       13
                   5_ARISA_471.9,   ARISA,         5,    0.00273,     0.0042,   0.00137,    0.00204,       58,      75, 469.9, 471.9,Global_Ocean_Survey_(GOS),                          xxx,    surf,         3,        nd,       nd,  204366,      nd,       AY552545.2,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                   Sar11_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                SAR86_471.9,0.002729156,0.004202858, 0.00137482,0.002038309,        58,       75
                     5_ARISA_473,   ARISA,         5,   0.000633,     0.0016,         0,          0,       20,      28, 471.9,   473,Global_Ocean_Survey_(GOS),                          xxx,    surf,         2,        nd,       nd,  204369,      nd,   AACY01084895.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                   Sar86_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  SAR86_473,0.000632707,0.001602737,          0,          0,        20,       28
                   5_ARISA_474.9,   ARISA,         5,    0.00158,    0.00237,  0.000338,   0.000501,       41,      59,   473, 474.9,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_474.9,0.001584681,0.002371503,0.000338162,0.000501359,        41,       59
                   5_ARISA_476.8,   ARISA,         5,   0.000846,    0.00172,         0,          0,       24,      45, 474.9, 476.8,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_476.8,0.000846178,0.001721349,          0,          0,        24,       45
